gr,phi_rib,phi_TC,phi_crow,phi,phi_max_pack_HighTreshold,phi_max_pack_LowTreshold
0.6,0.035882466,0.035220665,0.064349984,0.135,0.735,0.6615
1,0.091747642,0.045027745,0.08752984,0.224,0.76,0.684
1.5,0.138544376,0.060439611,0.100392647,0.299,0.775,0.6975
2,0.178718914,0.077965645,0.102533119,0.359,0.785,0.7065
2.5,0.197276599,0.096819058,0.097875054,0.392,0.79,0.711
3,0.218065594,0.116560382,0.088050719,0.422676695,0.795,0.7155
3.5,0.232312885,0.136924865,0.080551179,0.44978893,0.8,0.72
4,0.243551238,0.157743497,0.073877628,0.475172363,0.8,0.72
6,0.271366314,0.243750296,0.054728585,0.569845196,0.765,0.6885
8,0.285927067,0.332064614,0.043274228,0.66126591,0.74,0.666
9,0.290889106,0.376676234,0.039166609,0.706731949,0.73,0.657
10,0.29492615,0.421485726,0.03577032,0.752182195,0.72,0.648
