gr_spread,phi_rib_spread,phi_TC_spread,phi_crow_spread,phi_spread,phi_max_pack_HT_spread,phi_max_pack_LT_spread,PPP_HighTreshold_spread,PPP_LowTreshold_spread
0.6,0.035882466,0.035220665,0.064349984,0.135,0.735,0.6615,0.081210493,0.071254689
1,0.091747642,0.045027745,0.08752984,0.224,0.76,0.684,0.120159138,0.10311194
1.5,0.138544376,0.060439611,0.100392647,0.299,0.775,0.6975,0.142390522,0.119188833
2,0.178718914,0.077965645,0.102533119,0.359,0.785,0.7065,0.152948537,0.124749949
2.5,0.197276599,0.096819058,0.097875054,0.392,0.79,0.711,0.156015823,0.125050137
3,0.218065594,0.116560382,0.088050719,0.413,0.795,0.7155,0.157765445,0.124930522
3.5,0.232312885,0.136924865,0.080646991,0.45,0.8,0.72,0.157511513,0.121520733
4,0.243551238,0.157743497,0.073936389,0.474,0.8,0.72,0.154522952,0.116602385
6,0.271366314,0.243750296,0.054734896,0.569,0.765,0.6885,0.111703605,0.068211989
8,0.285927067,0.332064614,0.043274802,0.66,0.74,0.666,0.052691684,0.003837869
9,0.290889106,0.376676234,0.039166778,0.707,0.73,0.657,0.016444159,-0.035147285
10,0.29492615,0.421485726,0.035770369,0.752,0.72,0.648,-0.024206913,-0.078364035
4,0.250509844,0.13273001,0.073877628,0.457117483,0.805,0.7245,0.159023181,0.122225223
6,0.294626284,0.17102815,0.054728585,0.52038302,0.79,0.711,0.140304098,0.09919384
8,0.32677379,0.20321694,0.043274228,0.573264959,0.77,0.693,0.112781305,0.068639904
10,0.353911379,0.231409007,0.03577032,0.621090706,0.75,0.675,0.080064364,0.033482561
4,0.25051,0.157743,0.08879,0.497044,0.8,0.72,0.150582462,0.110818942
6,0.294626,0.24375,0.080376,0.618752,0.785,0.7065,0.102866282,0.05429425
8,0.326774,0.332065,0.073566,0.732404,0.77,0.693,0.027535461,-0.028859647
10,0.353911,0.421486,0.068111,0.843508,0.75,0.675,-0.078874746,-0.142137846
4,0.250509844,0.13273001,0.088790334,0.472030188,0.8,0.72,0.154811652,0.117049237
6,0.294626284,0.17102815,0.080375525,0.546029959,0.8,0.72,0.138675251,0.094992854
8,0.32677379,0.20321694,0.073565528,0.603556258,0.795,0.7155,0.115547068,0.067564346
10,0.353911379,0.231409007,0.068110909,0.653431296,0.78,0.702,0.082703952,0.031736311
4,0.236592631,0.157743497,0.073877628,0.468213756,0.8,0.72,0.155346884,0.117889783
6,0.248106345,0.243750296,0.054728585,0.546585226,0.765,0.6885,0.119382289,0.077568519
8,0.245080343,0.332064614,0.043274228,0.620419186,0.735,0.6615,0.071088135,0.025487325
10,0.23594092,0.421485726,0.03577032,0.693196965,0.715,0.6435,0.015113797,-0.034449786
4,0.236592631,0.13273001,0.073877628,0.443200269,0.803,0.7227,0.159463338,0.123874356
6,0.248106345,0.17102815,0.054728585,0.47386308,0.785,0.7065,0.147436299,0.110238047
8,0.245080343,0.20321694,0.043274228,0.491571511,0.763,0.6867,0.133426512,0.095919606
10,0.23594092,0.231409007,0.03577032,0.503120246,0.75,0.675,0.124210202,0.086476184
4,0.236592631,0.13273001,0.088790334,0.458112975,0.8,0.72,0.156622882,0.119973844
6,0.248106345,0.17102815,0.080375525,0.49951002,0.8,0.72,0.150097756,0.110136954
8,0.245080343,0.20321694,0.073565528,0.521862811,0.79,0.711,0.139930827,0.098703665
10,0.23594092,0.231409007,0.068110909,0.535460836,0.78,0.702,0.130941145,0.0891752
4,0.270082071,0.150181958,0.100464892,0.520728921,0.8,0.72,0.145424528,0.103766214
6,0.320540179,0.217123497,0.10203826,0.639701936,0.8,0.72,0.102542982,0.051366827
8,0.350767535,0.284077941,0.102837607,0.737683084,0.79,0.711,0.038593304,-0.019683659
10,0.36780264,0.351037743,0.103321388,0.822161771,0.78,0.702,-0.034663796,-0.098792414
